Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
ASXL2	Other	0.118254836215434	0.0327018701628378	0.386130273640744	0.0406401402961135	-0.103977799623043	-0.00809176046251053
ASXL3	Other	-0.0970709373267889	0.202900694314457	-0.0464809467100624	0.128726660317075	-0.141916936328941	0.117207006909645
ATAD2	Other	0.246752032016453	0.140636924752066	0.311865254411973	0.221375110606785	-0.205222980178819	0.0355309096485532
ATAD2B	Other	0.045818210504079	0.0888127395241167	0.0511794014182123	-0.041914795400377	0.192631052226806	0.137111600102901
ATM	Other	0.0785996089476567	-0.127399441014107	0.106764086560864	0.137385653605356	-0.184358772800558	0.233977251069286
ATR	Other	-1.48949430896635	-1.39915051275031	-1.48347817822487	-1.25850557195345	-0.936341648338696	-0.87362320457874
ATRX	Other	-0.136275682963189	-0.427916429299018	-0.359139819670471	-0.250638691508057	-0.241898613553539	-0.260909630493921
ATXN7	Other	0.253606610137411	0.0344217121541791	0.104710138945411	0.14202605427524	0.0148304890748544	0.131220946354073
ATXN7L3	Other	-0.184661923874862	-0.164508346415634	-0.185618483770412	-0.0632633034228889	-0.21407693075868	0.130228118752695
AURKA	Other	-1.99133568997206	-2.2951239035031	-1.91162788977809	-2.0104822037774	-1.65363929644839	-1.73549271168765
AURKB	Other	-2.343572134246	-2.04832305288107	-2.15511094575479	-2.17488619457309	-2.24563449658802	-2.17516702212804
AURKC	Other	0.0270429739934506	0.108519052915968	0.290656351529146	-0.060563144135413	0.0641538117234283	0.124905510044655
AXIN1	Other	0.149090294973343	-0.0826004584807176	-0.173020721220757	0.105888763741898	-0.119540382775337	-0.312253943469389
AXIN2	Other	-0.155119974369153	-0.0578046284445851	-0.26558849930402	-0.189080109051138	0.0792021513093631	-0.333370513749121
BAP1	Other	0.159401184928947	0.201147618293811	0.151088028260739	0.20384431526127	0.263589016790146	0.097904411324478
BARD1	Other	-0.856249386540523	-0.716794047803996	-0.814504725872844	-1.09255842059648	-0.795390723283006	-0.800801425666966
BAZ1A	Other	-0.188292308292468	0.286783881963848	0.353194970740845	0.0917856135327759	0.161910816853634	0.105999618787546
BAZ1B	Other	-0.498408016867379	-0.499920853333723	-0.445588705109013	-0.528043344682123	-0.567452272608781	-0.413792554477118
BAZ2A	Other	-0.00290845048769325	0.0580773347420236	0.0592095935259751	-0.222125970777067	-0.103192834775631	0.128962217293018
