Gene	Category	DMSO	Size	rho	p	FDR	depleted	enriched
CENPA	Other	-0.677212071666613	10	3.11165359778843e-05	0.000526931047308666	0.00346534653465346	141	NA
PRKDC	Other	-0.515545125129826	10	3.21910766900434e-05	0.000526931047308666	0.00346534653465346	142	NA
DTL	Other	-0.835308072116362	10	3.25346334811291e-05	0.000526931047308666	0.00346534653465346	143	NA
UBR5	Other	-0.581782152077566	10	3.2556443176367e-05	0.000526931047308666	0.00346534653465346	144	NA
ARID1A	Other	0.413614800775537	10	3.27300855512339e-05	0.000526931047308666	0.00346534653465346	NA	26
RPL10	Essential	-1.1973590957112	10	3.30008828835047e-05	0.000535787031297047	0.00348261570343081	145	NA
RAD21	Other	-1.2114740738378	10	3.41524547555445e-05	0.000535787031297047	0.00348261570343081	146	NA
RBBP5	Other	-0.502193207559533	10	3.63509304345545e-05	0.000606634903204095	0.00392033422995479	147	NA
USP1	Other	0.468020490121724	10	3.7593627973575e-05	0.000624346871180857	0.00401160805735746	NA	27
SUZ12	Other	0.47237040250158	10	3.87251563673973e-05	0.000633202855169238	0.00404526166902405	NA	28
CDC73	Other	-0.90895105303171	10	4.02337351080785e-05	0.000642058839157619	0.00405549029479219	148	NA
POLR2D	Essential	-0.980760198405763	10	4.05932624756838e-05	0.000642058839157619	0.00405549029479219	149	NA
SRSF1	Essential	-0.9260976855097	10	4.40389747519098e-05	0.000695194743087904	0.00436644788074313	150	NA
FBXO25	Other	0.461120904772262	10	4.58540967264988e-05	0.000712906711064666	0.00445267990486199	NA	29
RPL14	Essential	-0.994087373628809	10	4.7131561834827e-05	0.000739474663029809	0.00459295929592959	151	NA
SNRNP70	Other	-0.826265034990366	10	4.87812729830901e-05	0.000757186631006571	0.00467698703572015	152	NA
SUDS3	Other	-0.843124775741737	10	4.95942057571719e-05	0.000792610566960095	0.00486889348275487	153	NA
SMARCAD1	Other	0.421668475290525	10	5.31370853579465e-05	0.000845746470890381	0.00516691013363631	NA	30
PSMA3	Essential	-1.34660766671273	10	5.64529897632199e-05	0.000907738358809047	0.0055154972018941	154	NA
PTPN6	Other	-0.605873232251332	10	5.86082881471706e-05	0.000943162294762571	0.00566911529862664	155	NA
UBE2A	Other	-0.368366959888517	10	5.93747064989711e-05	0.000943162294762571	0.00566911529862664	156	NA
INO80	Other	-0.769096675022136	10	7.24719522384711e-05	0.00118227386244886	0.00706835389421295	157	NA
BRCA1	Other	-0.619043040935804	10	7.4173513023079e-05	0.00123540976637914	0.00734674531282916	158	NA
SUPT16H	Other	-0.683052550532037	10	7.54732457870411e-05	0.00127968968632105	0.00756980459950757	159	NA
