Gene	Category	DMSO	Size	rho	p	FDR	depleted	enriched
MYCL	Other	-0.154770939580641	10	0.00870142541341835	0.096428381657486	0.269517326732673	265	NA
TP53	Other	0.149729437817575	10	0.00879456956299763	0.0972254202164402	0.270614748041968	NA	136
BRCC3	Other	0.243984757840705	10	0.00880292728557079	0.0973051240723357	0.270614748041968	NA	137
CCNT1	Other	0.274376221534078	10	0.00888822619995282	0.0981110186152784	0.272178954868192	NA	138
IKZF1	Other	0.286320778983498	10	0.00917350333271029	0.100927221523583	0.279298598176649	NA	139
CDH1	Other	0.16084358849985	10	0.00923775866166991	0.101573708354735	0.28032938428978	NA	140
PHF20	Other	0.217188915065171	10	0.00927455275526178	0.101954515666236	0.28032938428978	NA	141
MAK	Other	0.285858878208683	10	0.00928725075757107	0.102051931490108	0.28032938428978	NA	142
FTO	Other	0.308071578466652	10	0.00933819188532439	0.102512442657504	0.280904193360513	NA	143
SMYD4	Other	0.162525049861116	10	0.00941505251080215	0.103212065392586	0.282129802222276	NA	144
BAP1	Other	0.170545610494499	10	0.0095573722624555	0.104531607006855	0.285039845447959	NA	145
ATAD2	Other	0.233084737060164	10	0.00974350142990151	0.106285091836554	0.289116137891161	NA	146
PRDM5	Other	0.337488669482296	10	0.00978440612146215	0.106639331196089	0.289375660867058	NA	147
CHEK2	Other	0.29555399286458	10	0.00999013543903685	0.108747055385324	0.294380648718625	NA	148
PRDM13	Nonessential	0.247703225012338	10	0.0101726795102076	0.110420836359128	0.298189601568853	NA	149
NEDD4L	Other	0.296870370766524	10	0.010296950523283	0.111572114277617	0.30057258737922	NA	150
PJA1	Other	0.252014816756249	10	0.0104928435194729	0.113617846578933	0.305347962680883	NA	151
PHC2	Other	0.319699921724952	10	0.0105493953202987	0.114158061602225	0.306064059643374	NA	152
RFC4	Other	-0.240047146797231	10	0.0109923804117423	0.11817867833295	0.316085555924013	266	NA
ZZZ3	Other	-0.291504026753696	10	0.0112130514418883	0.120047290954498	0.320317115243744	267	NA
BMI1	Other	0.235514776858908	10	0.0117521393940882	0.124200747445049	0.330610561056106	NA	153
AFF1	Other	0.269064734381699	10	0.0118005424430116	0.124537274836607	0.330718938877261	NA	154
KANSL3	Other	-0.343574383068357	10	0.0118679271123626	0.125042065923945	0.331272582234527	268	NA
ERG	Other	0.233884438423553	10	0.0119322396865267	0.125564568979259	0.331870421084662	NA	155
MPHOSPH8	Other	-0.302757794070583	10	0.0124676530544175	0.129815441293682	0.342296375864001	269	NA
SSRP1	Other	-0.156318518914408	10	0.0126089868812826	0.130931295276218	0.344222098266165	270	NA
HMG20B	Other	0.30915859671613	10	0.0126477644625001	0.131161550859916	0.344222098266165	NA	156
DZIP3	Other	0.267352893951926	10	0.0128485692902765	0.132808763881755	0.347728800983143	NA	157
PIAS1	Other	-0.253667379927104	10	0.0129069168827086	0.133269275049151	0.348119274544277	271	NA
TAF7	Other	-0.522228231745822	10	0.0130564601889487	0.134287713207815	0.34996191926885	272	NA
ZMYND8	Other	0.154545233365639	10	0.013211398058765	0.135385855222374	0.352003223578172	NA	158
METTL1	Other	0.264120648986501	10	0.0136890238318493	0.139061088577552	0.360719946704647	NA	159
PHF1	Other	-0.604434349820554	10	0.0139410812199821	0.141133388830833	0.365247983131646	273	NA
TRIM23	Other	0.232108419929586	10	0.0141348717959496	0.142630050124869	0.368268813024489	NA	160
MYCBP2	Other	-0.17381966958503	10	0.0144098739425074	0.144817478169999	0.373055162659123	274	NA
ZHX1	Other	0.297357689681319	10	0.0146345153551763	0.146579818983687	0.376726983043132	NA	161
GSG2	Other	-0.22006636505599	10	0.0147698580552772	0.147748808870154	0.37853203128532	275	NA
SRCAP	Essential	-0.0867258390400992	10	0.0148103056649877	0.1480941922457	0.37853203128532	276	NA
CUL3	Other	-0.226291664135555	10	0.0148395523649486	0.148297879877433	0.37853203128532	277	NA
NCOR1	Other	0.287247358868247	10	0.015139174529798	0.150954675073947	0.384435823992422	NA	162
PTPN13	Other	0.255505937748605	10	0.0154279556246147	0.153336934766822	0.389615211521152	NA	163
MSL3	Other	0.255147676862983	10	0.0155266358372016	0.154089693405834	0.390640084416605	NA	164
APOBEC3G	Other	0.173043237246525	10	0.0156596261928269	0.155028427708603	0.392130728909995	NA	165
MEAF6	Other	0.266169154873765	10	0.0157871830192478	0.155967162011371	0.393614643631406	NA	166
CHD3	Other	0.143940144994738	10	0.0159416775091751	0.15706530402593	0.39549326554277	NA	167
EED	Other	-0.225312911078981	10	0.0160881130051513	0.158181158008466	0.397407943041495	278	NA
PAXIP1	Other	0.303158641609559	10	0.0165026300494964	0.161431304132202	0.402879685289958	NA	168
TRIM24	Other	0.26999799935574	10	0.0165029456760981	0.161431304132202	0.402879685289958	NA	169
ARID4A	Other	-0.194015662446293	10	0.0165039805669518	0.161440160116191	0.402879685289958	279	NA
USP15	Other	-0.287237069625689	10	0.0166593846770634	0.162635717954622	0.404959315530662	280	NA
ANP32B	Other	0.171747771174423	10	0.0167105541382868	0.163051949202076	0.405093509350935	NA	170
ZFHX3	Other	0.237246797995502	10	0.0172112714833128	0.166886590269045	0.413486813283098	NA	171
POT1	Other	0.301992331097578	10	0.0172533142633057	0.167169981756673	0.413486813283098	NA	172
DOT1L	Other	0.288667577874365	10	0.0174081399194069	0.168383251563081	0.415568378029856	NA	173
USP21	Other	0.272223416077768	10	0.0175239383696178	0.169277705945908	0.416855672351376	NA	174
PARP10	Other	-0.176933144734617	10	0.0182799715485046	0.175034095538355	0.43008377760853	281	NA
EHMT2	Other	0.30270449067187	10	0.018667804062977	0.177806018526719	0.435936685773841	NA	175
PTPN14	Other	0.086359686296501	10	0.0187997130172545	0.178939584477231	0.437755920012132	NA	176
ING2	Other	0.276820162901814	10	0.0189704240031775	0.180445101755256	0.440432630219544	NA	177
SUV420H1	Other	0.33798157759482	10	0.0190744843066925	0.181153580474327	0.440432630219544	NA	178
SMURF1	Other	-0.217820358095349	10	0.0190871691170935	0.181215572362245	0.440432630219544	282	NA
SOX17	Other	-0.123625032346943	10	0.0191869457864371	0.181870915177385	0.441066557848843	283	NA
PRKAA2	Other	0.301781671031627	10	0.0195093381505957	0.184111479126446	0.445533839098195	NA	179
HERC3	Other	0.326062241236494	10	0.0204906770218247	0.190753467117731	0.460193325367019	NA	180
CBLB	Other	0.231437617664509	10	0.0205366283163255	0.190992578685418	0.460193325367019	NA	181
BMP2K	Other	-0.104515820063956	10	0.020975759432491	0.194083317097363	0.466634727988928	284	NA
HJURP	Other	-0.267095689646746	10	0.0218817276420179	0.20033564179316	0.480633578379297	285	NA
TDRD12	Other	0.229619836227024	10	0.0220450474949551	0.201522343647603	0.482133790302107	NA	182
DPF1	Other	-0.131827152037071	10	0.0220730333117668	0.201823447103208	0.482133790302107	286	NA
AMFR	Other	0.286169103230697	10	0.0223424904979001	0.203621211852849	0.485391289662015	NA	183
STK17B	Other	0.270925608576074	10	0.022521971953806	0.20514444109885	0.487981883294712	NA	184
LNX1	Other	0.295449825917336	10	0.0228395685948222	0.207269877256062	0.491990918837107	NA	185
INO80B	Other	-0.507722057095106	10	0.0230707699530394	0.20870454666218	0.493845896217529	287	NA
ZNF532	Other	-0.196347612016056	10	0.0230998024199926	0.208934802245878	0.493845896217529	288	NA
TAF9B	Other	0.235464521276369	10	0.0234211094128397	0.211024814467135	0.497733634122906	NA	186
PHF10	Other	0.152884528750677	10	0.0236669313994456	0.212521475761172	0.500197603793993	NA	187
MBD6	Other	0.0673716522278477	10	0.0237381528175795	0.212964274960591	0.500197603793993	NA	188
CHRAC1	Other	0.246295285762982	10	0.0242862235160055	0.216683788235711	0.507089853035408	NA	189
BRWD3	Other	0.203482983546769	10	0.0243521319308143	0.217117731451142	0.507089853035408	NA	190
SUV39H2	Other	0.254205544391711	10	0.0243763652072174	0.217259427194956	0.507089853035408	NA	191
KDM4C	Other	0.265966413888507	10	0.0244655604536609	0.217923625994084	0.507580445544555	NA	192
UBE3C	Other	0.207706165012773	10	0.0249582343259567	0.221492587541402	0.514041776848492	NA	193
SMARCC2	Other	0.27950139463946	10	0.0250201283786503	0.221908818788856	0.514041776848492	NA	194
STK31	Other	0.0894739395153199	10	0.0250488810716872	0.222077082484635	0.514041776848492	NA	195
UCHL5	Other	0.0267075682192283	10	0.0254596572413206	0.225194388848545	0.51795189785919	NA	196
SPIN3	Other	0.133055762351319	10	0.0254938132043095	0.225406932464266	0.51795189785919	NA	197
HMGN1	Other	-0.0988208977387571	10	0.0255165183733723	0.225557484192069	0.51795189785919	289	NA
SLC38A4	Other	0.244661492925821	10	0.0255286347815668	0.225619476079987	0.51795189785919	NA	198
EYA4	Other	0.300580505147355	10	0.0256458888582985	0.226381090702988	0.518635367635124	NA	199
DPY30	Other	-0.215418185547878	10	0.0261843659538254	0.230215731769957	0.52634189799348	290	NA
RNF168	Other	0.197280343019786	10	0.0268366947340417	0.234404612196461	0.534825217215599	NA	200
RNF34	Other	0.250049648074365	10	0.0272470425766072	0.237220815104766	0.539412782741689	NA	201
SPEG	Other	-0.0880385522135467	10	0.0272654716219952	0.237380222816557	0.539412782741689	291	NA
GATA2	Other	-0.226759510588865	10	0.0275655244329916	0.239434811101862	0.542740610093398	292	NA
EEF2KMT	Other	-0.355469679456712	10	0.0276301509754648	0.239815618413362	0.542740610093398	293	NA
RFFL	Other	0.129494729076984	10	0.0279020169625494	0.241755078906817	0.545879235810905	NA	202
PRDM14	Nonessential	0.204276790492811	10	0.0280036043732499	0.242436989673923	0.545879235810905	NA	203
TRIM16	Other	0.218321687686967	10	0.0280375326599455	0.242667245257621	0.545879235810905	NA	204
GATAD2B	Other	-0.143222677810949	10	0.0284910726717257	0.246245062788926	0.551707375146332	294	NA
RUNX1	Other	0.191447420334173	10	0.0284910726717257	0.246245062788926	0.551707375146332	NA	205
RPL31	Essential	-0.199449487893322	10	0.0294850586991431	0.252444251580793	0.564465346534654	295	NA
RNF17	Nonessential	0.254330335456368	10	0.0303010670135815	0.257731274021857	0.575136855002866	NA	206
H2BFWT	Nonessential	0.27386248389775	10	0.0308971546052544	0.261495067216918	0.582373476391464	NA	207
PLCG1	Other	0.238968767778051	10	0.0311556920779744	0.263195416142688	0.584994980611381	NA	208
TRAF7	Other	-0.083614333625864	10	0.0315259022421757	0.265497971979667	0.588618762866386	296	NA
CALR	Other	0.291247540619983	10	0.0315832133088364	0.265878779291167	0.588618762866386	NA	209
SMARCD1	Other	0.172831833767654	10	0.0317637552642663	0.267109761065552	0.590175321880014	NA	210
STAT5B	Other	-0.100183433455337	10	0.0318733314967649	0.267738535928727	0.590397797176167	297	NA
CBX5	Other	0.246402057114889	10	0.0319942696752031	0.268570998423635	0.591067669759102	NA	211
HDGF	Other	0.172935949931397	10	0.0324668257146105	0.271590888963673	0.596539516427085	NA	212
VRK1	Other	0.227548342508388	10	0.0327350300349053	0.2732469579695	0.598661138129469	NA	213
FRK	Other	0.20546312789685	10	0.0328054910695126	0.273627765281	0.598661138129469	NA	214
TDRD3	Other	0.237823449773825	10	0.0329682871754613	0.274734763279548	0.59990911200495	NA	215
SETD3	Other	0.289438112430747	10	0.0333028052184432	0.277090455020457	0.603604037446546	NA	216
METTL5	Other	0.273277589549	10	0.0333577284063001	0.277506686267911	0.603604037446546	NA	217
ZMYM3	Other	-0.015651129059035	10	0.0337876651301764	0.280181193432402	0.607895895972576	298	NA
GADD45B	Other	0.186367018324777	10	0.0339455591926525	0.281111071751182	0.607895895972576	NA	218
PCGF6	Other	-0.0785225588077228	10	0.0339455591926525	0.281111071751182	0.607895895972576	299	NA
ALKBH6	Other	0.110577776955784	10	0.0348775235450224	0.286743477567793	0.618878779769869	NA	219
TP53RK	Other	0.0716084850281029	10	0.0352299598136322	0.288895481676969	0.621495770266682	NA	220
BRAF	Other	0.232040037082138	10	0.0353931885971716	0.289843071963726	0.621495770266682	NA	221
MBIP	Other	0.0897587096596809	10	0.0354340895339649	0.290135319435342	0.621495770266682	NA	222
SUV420H2	Other	-0.201384728143586	10	0.0354431814895676	0.290179599355284	0.621495770266682	300	NA
SPIN1	Other	-0.12992477679235	10	0.0362613044516635	0.295254078180627	0.631154989303902	301	NA
TET2	Other	0.223682500844859	10	0.036634015342584	0.297574345985582	0.633127923798072	NA	223
SCMH1	Other	-0.0729472787552447	10	0.0366366447619733	0.297592057953559	0.633127923798072	302	NA
SETMAR	Other	0.081426613036486	10	0.0367628723463768	0.29840680848049	0.633127923798072	NA	224
ARRB1	Other	-0.40087963960499	10	0.0367712376373649	0.298442232416444	0.633127923798072	303	NA
PDIK1L	Other	0.107041282635807	10	0.0372712366429298	0.301329283196656	0.638041929192919	NA	225
BRD1	Other	0.158288474376252	10	0.0374286355227271	0.302294585451389	0.638875891369855	NA	226
WWP2	Other	0.252309974528525	10	0.0375365758594118	0.302879080394623	0.638903418643751	NA	227
RAI1	Other	-0.110251852957336	10	0.0377421181939507	0.304189766024903	0.640093426635897	304	NA
METTL12	Other	0.14509835489092	10	0.0378059402383318	0.30458828530438	0.640093426635897	NA	228
MAP3K19	Other	-0.0324425990863881	10	0.0379145118499089	0.305234772135532	0.640248546430628	305	NA
ANP32E	Other	-0.201555073793351	10	0.0382540336647913	0.307457624116616	0.643703415285349	306	NA
METTL22	Other	0.22421873152754	10	0.0387419189288996	0.310433234736712	0.648283951529481	NA	229
NRAS	Other	0.00676447115357037	10	0.0387858593109698	0.310805186064224	0.648283951529481	NA	230
NCOA6	Other	0.278291540221808	10	0.0390202460903471	0.312204431534388	0.649989859321128	NA	231
USP9X	Other	-0.218138866067132	10	0.0393162265133117	0.313957916364087	0.652425558540984	307	NA
CASP8	Other	0.185496601277553	10	0.0404576215094842	0.321086983474734	0.666002314517166	NA	232
PRDM10	Other	-0.161788224249969	10	0.0407586163476031	0.323044155936166	0.668737761021943	308	NA
WEE2	Other	0.191748944202573	10	0.0408512260789922	0.323602082927434	0.668737761021943	NA	233
FBXL3	Other	0.286692382643991	10	0.041079639164214	0.324948192493668	0.669046186386594	NA	234
RICTOR	Other	-0.25662000015887	10	0.041079639164214	0.324948192493668	0.669046186386594	309	NA
PRKCB	Other	0.137870128570426	10	0.0411910625180635	0.325621247276785	0.669199548631334	NA	235
KRAS	Other	0.262706514694993	10	0.0414481278143056	0.327241892346659	0.671296212190026	NA	236
ZNF711	Other	0.240459124035211	10	0.041934444290481	0.33035034272658	0.676431654154426	NA	237
SMAD4	Other	0.24994210614772	10	0.042331024380002	0.332475778883792	0.679539160497403	NA	238
SMYD5	Other	0.239402274119291	10	0.0428573172295503	0.335655077135621	0.684785358097854	NA	239
MAPKAPK3	Other	-0.13357398926762	10	0.043191294798246	0.33778936927682	0.687004725880937	310	NA
FGFR3	Other	-0.332876982390524	10	0.0432836768489176	0.338320728316123	0.687004725880937	311	NA
RHEB	Other	0.278016039856392	10	0.0433413823604896	0.338586407835775	0.687004725880937	NA	240
RCOR3	Other	0.0266626461779857	10	0.04362370234619	0.340224764873625	0.688799169247847	NA	241
RBBP4	Other	-0.12472406144046	10	0.0437081022342446	0.340702988008998	0.688799169247847	312	NA
UBE2K	Other	-0.10806891747415	10	0.0441941108277549	0.34369631059707	0.692989028632593	313	NA
FBXO4	Other	0.194282346986823	10	0.0442631468736554	0.344015126020652	0.692989028632593	NA	242
PHF8	Other	0.18623061878478	10	0.0446459073072507	0.346273401937689	0.695033506941358	NA	243
MIB2	Other	-0.15646664097621	10	0.0446459073072508	0.346273401937689	0.695033506941358	314	NA
SHPRH	Other	-0.0565895511106417	10	0.0448427306714475	0.347424679856179	0.696094609460946	315	NA
H2AFV	Other	0.208612056122965	10	0.0450018110969768	0.348496253918773	0.696992507837546	NA	244
MET	Other	0.17409870556754	10	0.0452725535247449	0.350232026780496	0.697412000986576	NA	245
KDM4E	Other	0.143688380781026	10	0.0453072471710429	0.350435714412228	0.697412000986576	NA	246
SAP30L	Other	0.21978979889486	10	0.0453377737781277	0.350577410156042	0.697412000986576	NA	247
TAF5L	Other	0.236207369704235	10	0.0459909475254543	0.354518323030872	0.703999085521341	NA	248
TRIM33	Other	0.263203119024682	10	0.0462847640010555	0.356138968100746	0.704098590071021	NA	249
BAZ1A	Other	0.150562181470742	10	0.0463314069180102	0.356440071556351	0.704098590071021	NA	250
UBN1	Other	-0.00606356945474123	10	0.0463385016118643	0.356457783524327	0.704098590071021	316	NA
EYA2	Other	0.148599261734124	10	0.0466484739238023	0.358282116225934	0.706453978731206	NA	251
MECP2	Other	-0.0117977767102743	10	0.046900722347197	0.359654793744133	0.707868590022447	317	NA
HERC2	Other	-0.109982044560658	10	0.0470019403841078	0.360265856639331	0.707868590022447	318	NA
SNRK	Other	0.00813080170577053	10	0.0475155762723684	0.363073203563648	0.712133055410804	NA	252
RPS3A	Essential	-0.388944829728153	10	0.0480336011225368	0.366039958199756	0.716694699242253	319	NA
ARNTL	Other	0.212750828098937	10	0.0482487756762949	0.367359499814024	0.716905983792096	NA	253
POLE4	Other	0.249372045185979	10	0.0482688903909297	0.367430347685931	0.716905983792096	NA	254
TSC1	Other	0.166223900626172	10	0.0484151956245851	0.368103402469048	0.716967951150516	NA	255
KDM1B	Other	0.26456293381862	10	0.0486377521411784	0.369546927859154	0.71852776582006	NA	256
HECTD3	Other	-0.0249779436112326	10	0.0488189214944704	0.370645069873714	0.719411784928493	320	NA
NAP1L2	Other	0.188185555154556	10	0.0492263416818816	0.372974193662658	0.72267790037236	NA	257
NAA40	Other	-0.231469740733769	10	0.0494543835576151	0.374311447244903	0.723105730262145	321	NA
KDM4D	Other	0.243237410347268	10	0.0494791138098806	0.374488566924671	0.723105730262145	NA	258
PIK3CB	Other	0.183174517645963	10	0.0496142554146089	0.375232469579695	0.72329293274155	NA	259
MDM2	Other	0.232413653602681	10	0.0497566344654438	0.376118067978533	0.723357181608572	NA	260
MTA3	Other	0.218293715504354	10	0.0499352113942733	0.377127650153209	0.723357181608572	NA	261
RBBP7	Other	0.19305319984157	10	0.0500425566335263	0.377623585256558	0.723357181608572	NA	262
PARK2	Other	0.191002515805023	10	0.0500962968476939	0.377853840840256	0.723357181608572	NA	263
MBTD1	Other	0.208535267717113	10	0.0506751053625771	0.381192546803875	0.728440847497719	NA	264
HIST1H1B	Other	0.0328945018380862	10	0.0507899209213285	0.381812465683062	0.728440847497719	NA	265
SIAH1	Other	0.19824105744743	10	0.0509622900811065	0.382937175649586	0.72934201426957	NA	266
PHOX2B	Other	0.204806232509983	10	0.0514889222058536	0.385797658477833	0.733540445881323	NA	267
APC	Other	0.264305712442022	10	0.0518951702702169	0.388179918170708	0.736816890517575	NA	268
TP53BP1	Other	-0.329828769398873	10	0.0523944117751022	0.391075824934909	0.736853869333422	322	NA
SETD2	Other	-0.140451886912626	10	0.0525058611504926	0.391810871605944	0.736853869333422	323	NA
EYA1	Other	0.226705486817279	10	0.0526566998860222	0.392731893940736	0.736853869333422	NA	269
TADA2A	Other	-0.175387218085055	10	0.0526566998860222	0.392731893940736	0.736853869333422	324	NA
SND1	Other	0.223891765087733	10	0.0528220448068869	0.393546644467667	0.736853869333422	NA	270
ZNF292	Other	0.14073919779127	10	0.0528413184202533	0.393617492339574	0.736853869333422	NA	271
ZNF541	Other	-0.256709283290921	10	0.0528548752686686	0.393679484227492	0.736853869333422	325	NA
UBE2D3	Other	-0.242550195456098	10	0.0529416402109641	0.394095715474946	0.736853869333422	326	NA
USP46	Other	0.15775857470816	10	0.0529535078830499	0.3941311394109	0.736853869333422	NA	272
PRKAA1	Other	-0.0423607859105746	10	0.0531906921976915	0.395468392993145	0.73811963834113	327	NA
PCGF2	Other	0.219403143276619	10	0.0538584827731511	0.399311890044103	0.740336699232837	NA	273
PHF20L1	Other	0.16633979349334	10	0.0539088887243293	0.399586425547743	0.740336699232837	NA	274
ASXL2	Other	0.179028993339672	10	0.0539462945266999	0.399825537115429	0.740336699232837	NA	275
UBE2E1	Other	0.13332482909405	10	0.0539690596862539	0.399940664907278	0.740336699232837	NA	276
STAT3	Other	0.196234975980629	10	0.0539715849558333	0.399967232859243	0.740336699232837	NA	277
SETD5	Other	-0.19260832860943	10	0.0545437293846867	0.403190811031014	0.744213548208198	328	NA
CDYL2	Other	0.257070168959531	10	0.0546587223243628	0.403819585894189	0.744213548208198	NA	278
TRMT44	Other	0.0732908452404962	10	0.054688749292335	0.404058697461875	0.744213548208198	NA	279
BRPF3	Other	-0.229525969429527	10	0.0554894875528623	0.407167147841797	0.748705380406462	329	NA
METTL2A	Other	-0.135805087839814	10	0.0565412357710036	0.412144210843267	0.756612853403567	330	NA
ERBB2	Other	0.189219724049859	10	0.0575824434201091	0.416519066933527	0.763390683330628	NA	280
PARP16	Other	-0.0910603017216983	10	0.0583301523572755	0.419680653217379	0.766930369507539	331	NA
APOBEC3C	Other	0.18963423953033	10	0.058369104317038	0.419822348961193	0.766930369507539	NA	281
H1F0	Other	0.12176725941751	10	0.0591229454828039	0.423267326732673	0.771962269636425	NA	282
CHD6	Other	0.192634459666579	10	0.0593313776464708	0.424250340955384	0.772494920501822	NA	283
SH2B3	Other	0.23530382374847	10	0.0595899343410796	0.425330771001966	0.773202930049102	NA	284
RNF216	Other	-0.0182906270846302	10	0.0606980084401548	0.429900458739971	0.780241416998843	332	NA
LIN54	Other	-0.268993152603739	10	0.0609466102123674	0.430883472962681	0.780314784305571	333	NA
CDK2	Other	-0.0562613678862253	10	0.0611586242754267	0.431901911121345	0.780314784305571	334	NA
ATXN7L3	Other	-0.178262918020303	10	0.0611823927455648	0.43203475088117	0.780314784305571	335	NA
HMGN2	Other	-0.229645998581058	10	0.0616703370400698	0.434231034910289	0.783016608112424	336	NA
KDR	Other	-0.119381005092157	10	0.0630266435654849	0.440315095910307	0.792708981043032	337	NA
JADE1	Other	0.137919119243462	10	0.064249259785217	0.44522131103987	0.800253096049155	NA	285
PARP4	Other	0.256700554331087	10	0.0647583417237404	0.447523866876849	0.803100615037427	NA	286
INTS12	Other	-0.0978023700951093	10	0.0659648128084108	0.45276660939797	0.810368316831683	338	NA
UTY	Other	0.18868652790643	10	0.0660392274806982	0.453023432933633	0.810368316831683	NA	287
MRGBP	Other	0.211356624434266	10	0.0664652574995821	0.454812341699286	0.812268686932591	NA	288
TET3	Other	0.0401633225426454	10	0.067697775256242	0.459975380364512	0.820179386359689	NA	289
ALKBH3	Other	0.228990352150668	10	0.0686054842577382	0.463624045767725	0.824791764890775	NA	290
EIF3H	Other	0.079840639534382	10	0.068886679814392	0.464651339910377	0.824791764890775	NA	291
EAF2	Other	0.176784864557726	10	0.0689279270726444	0.464775323686215	0.824791764890775	NA	292
SRC	Other	0.19023011497979	10	0.0698197699888596	0.468264581377637	0.829666881109664	NA	293
CECR2	Other	0.074331221832086	10	0.0701107991834162	0.469530987087975	0.830298906667918	NA	294
UBE2N	Other	-0.00737658034543027	10	0.0702594276858952	0.47010662604722	0.830298906667918	339	NA
NAA50	Other	-0.0502531643686612	10	0.0709368869098892	0.473011388795409	0.833296951742418	340	NA
KMT2B	Other	-0.247506680144335	10	0.0710165585121679	0.473294780283037	0.833296951742418	341	NA
WHSC1	Other	-0.101332463625832	10	0.0713574473432107	0.474570041977364	0.834228470016813	342	NA
FGFR1	Other	-0.240904013808384	10	0.0718969567181116	0.476438654598912	0.836198455010336	343	NA
UBE2B	Other	0.239148815020819	10	0.0724610449888091	0.478962610035601	0.836910829496636	NA	295
PIK3CA	Other	-0.186257523139091	10	0.0725418729265011	0.479316849395136	0.836910829496636	344	NA
PRDM1	Other	0.131023481798791	10	0.0726947573560688	0.479892488354381	0.836910829496636	NA	296
SCML4	Other	-0.167378643564403	10	0.0728657950758076	0.480521263217556	0.836910829496636	345	NA
SETDB2	Other	0.167313712300999	10	0.0729776967232627	0.48099063036894	0.836910829496636	NA	297
METTL23	Other	0.182536109957659	10	0.0730604221700593	0.481336013744487	0.836910829496636	NA	298
DNMT3B	Other	-0.0802875867924435	10	0.0735962555161657	0.483461449901699	0.839301088493943	346	NA
NOTCH1	Other	-0.025911897846278	10	0.074747346926115	0.488031137639703	0.845775986267357	347	NA
ABL1	Other	-0.143588248220159	10	0.0749177753630009	0.48870419242282	0.845775986267357	348	NA
MAP2K1	Other	-0.200355198121058	10	0.0754779712381503	0.490714500788183	0.847942522227493	349	NA
JADE2	Other	0.0691874860382705	10	0.0759622622381126	0.492529977505801	0.849766226622662	NA	299
H3F3B	Other	-0.285535641630732	10	0.0771264553396305	0.496683433996351	0.855152463099071	350	NA
CLK4	Other	0.130201636575244	10	0.0775883747807261	0.498339503002179	0.855152463099071	NA	300
HDAC1	Other	0.0900507973215198	10	0.0776740902733853	0.498711454329691	0.855152463099071	NA	301
KEAP1	Other	-0.162826266480338	10	0.0776740902733853	0.498711454329691	0.855152463099071	351	NA
ELL2	Other	-0.00715213991406677	10	0.0780971526144473	0.500048707911936	0.856132397313238	352	NA
PADI1	Other	0.219203560986051	10	0.0789362534966031	0.503272286083707	0.860333969176734	NA	302
FXR2	Other	0.109612205724784	10	0.079301830199799	0.504627251633929	0.861333232559897	NA	303
PRKAG1	Other	0.17600357720825	10	0.0800536594604459	0.507549726350095	0.865000905578363	NA	304
ZFP57	Other	0.113069055913235	10	0.0818135591912063	0.514209426309357	0.873807517529869	NA	305
YWHAE	Other	0.114898621198002	10	0.0818295000057573	0.514280274181264	0.873807517529869	NA	306
SMYD3	Other	0.0530510446906197	10	0.0825936764183242	0.517140757009511	0.877334395048002	NA	307
FBXO3	Other	0.243504822218783	10	0.0828925735670454	0.518354026815919	0.877930228726352	NA	308
CYLD	Other	0.119307891077339	10	0.083095077059733	0.51906250553499	0.877930228726352	NA	309
EZH1	Other	0.10117656122545	10	0.0838520364185907	0.521914132379249	0.881419939577039	NA	310
SUPT3H	Other	0.152523621331947	10	0.0842881901538272	0.523366513753343	0.882539611427206	NA	311
PDGFRB	Other	0.124287754765176	10	0.0867329151364316	0.532718432845073	0.896956638434928	NA	312
UBR2	Other	-0.106760112964827	10	0.0877550693560281	0.536154554632565	0.90138464974317	353	NA
KDM4B	Other	0.148728417261892	10	0.088011929985236	0.537066720983368	0.901562453542652	NA	313
NAT8	Other	0.161425411797617	10	0.0889494815583409	0.540493986786872	0.905955438122523	NA	314
STK4	Other	-0.0571183540457993	10	0.0897133129485512	0.54318620591934	0.909105057212308	354	NA
ACTR6	Other	0.210284638233286	10	0.0902602947262329	0.54515223436476	0.911031686128254	NA	315
L3MBTL3	Other	0.182113484482512	10	0.0906394040486207	0.546454064011052	0.911844244125905	NA	316
FBXO10	Other	-0.0647393190431323	10	0.0921940537009615	0.552228165571477	0.919930162659123	355	NA
PRMT2	Other	0.140858975118821	10	0.0924463044806803	0.552945500274535	0.919930162659123	NA	317
MEN1	Other	-0.145620919643778	10	0.0932609296627216	0.555832551054748	0.921195452878621	356	NA
ASF1B	Other	-0.0561785935238437	10	0.0932609901772925	0.555832551054748	0.921195452878621	357	NA
HDAC4	Other	-0.0678599595834378	10	0.093350290191853	0.556177934430295	0.921195452878621	358	NA
AURKC	Other	0.142072792812855	10	0.093797688571296	0.557754299580226	0.922439803151913	NA	318
PADI2	Other	0.172616550126052	10	0.0944265644574437	0.560109991321136	0.92480934396827	NA	319
HDAC10	Other	0.0586574683053781	10	0.0946969832239565	0.561119573495811	0.92480934396827	NA	320
HAT1	Other	0.190132605048443	10	0.0948775628936869	0.561668644503091	0.92480934396827	NA	321
DYRK1B	Other	-0.0541915677874271	10	0.0956022882290229	0.563935776404116	0.92698925822304	359	NA
ORC4	Other	0.128451324284185	10	0.0958871424099953	0.564892222674861	0.92698925822304	NA	322
KDM7A	Other	0.139846593997804	10	0.0960603413314933	0.565529853522025	0.92698925822304	NA	323
NTRK3	Other	0.0597903041475363	10	0.0963308702063027	0.566309180113002	0.92698925822304	NA	324
