Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.Plasmid.0.R1.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
SETD8	Other	-0.83381246143845	-0.754063362835098	-0.829118748766115	0.359511847915476	-0.884433798409036	-0.680636091215614	-0.895586750133891
SETDB1	Other	-0.681383454511576	-0.424319948172713	-0.652061968974712	-0.212932737560097	-0.344972478102343	-0.598251202688506	-0.637185490351261
SETDB2	Other	-0.112800330615317	0.148739273443982	0.184510516284569	-0.0938305592632537	0.19341176124869	-0.0755308468373731	0.0392603588150857
SETMAR	Other	0.0440622766785939	0.0252328275766467	-0.373887909141385	-0.182957547998534	-0.163313293541274	-0.148725604235678	-0.368563066129947
SF3A2	Essential	-0.845111821271324	-0.783409432817062	-0.319043608374983	0.0479963708889101	-0.763691198585476	-0.739053473859351	-0.542383394205143
SF3B1	Essential	-2.09408790265456	-1.92654588020208	-2.14101704391367	-0.0969436532827567	-1.93638220902772	-2.09807558853252	-2.05254071425914
SF3B2	Essential	-0.665469226296077	-0.88375976144023	-0.676918892489072	0.0876835787832095	-0.791302486763086	-0.850913648083046	-0.768401453873716
SF3B3	Essential	-2.14386749427861	-1.91522236358672	-1.87377525861879	0.26009566531927	-2.1470720018775	-1.95877324948484	-2.01960544095491
SF3B4	Essential	-0.888224107872441	-0.907745065585153	-0.744503605414437	0.252172181748559	-0.81237403159549	-0.839849356579809	-0.669303741299734
SF3B5	Essential	-0.550047262429236	-0.0527319559761936	-0.230303596962018	0.607710654213725	-0.283940919552714	-0.289956409928327	-0.20035908624782
SFMBT1	Other	-0.0368590578070524	-0.196612589853542	-0.107156785606386	-0.253980168067089	0.0426317099011678	-0.187736613939212	-0.283472224627932
SFMBT2	Other	0.428382037954821	0.242100840932921	0.238207999312895	0.0863024018410197	0.0717697599764862	0.0187617997579843	0.28854653156623
