Gene	Category	PRMT5	Size	rho	p	FDR	depleted	enriched
NEDD4	Other	-0.000179460203737938	10	0.158708619606703	0.750761614623001	0.99796466613486	426	NA
MAPKAPK2	Other	-0.037494543315553	10	0.158708619606703	0.750761614623001	0.99796466613486	427	NA
PCGF3	Other	0.106027007276	10	0.159475984271818	0.752771922988363	0.99796466613486	NA	415
EYA2	Other	0.017290510289887	10	0.159475984271818	0.752771922988363	0.99796466613486	NA	416
GATAD2B	Other	-0.100984238224467	10	0.15973510392181	0.753382985883562	0.99796466613486	428	NA
TOPORS	Other	0.138553041330974	10	0.16027324672437	0.754543119786039	0.998318589255375	NA	417
TRIM63	Other	0.0670315348968339	10	0.162212298088318	0.759467046883579	0.999800740360261	NA	418
MYD88	Other	0.124394893097402	10	0.162309943772033	0.759750438371207	0.999800740360261	NA	419
CBX8	Other	-0.11968432129117	10	0.162439517920074	0.760069253794789	0.999800740360261	429	NA
USP51	Other	0.0732405534384631	10	0.163067559722639	0.761672186896686	0.999800740360261	NA	420
USP27X	Other	-0.0637512894253281	10	0.163348382640924	0.762354097663791	0.999800740360261	430	NA
ZNHIT1	Other	-0.0824360933966132	10	0.163608651587767	0.763044864414885	0.999800740360261	431	NA
NPM1	Other	-0.24491338617336	10	0.163764829065597	0.763425671726386	0.999800740360261	432	NA
MAP3K7	Other	0.138522112964121	10	0.164129980657593	0.764249278237305	0.999800740360261	NA	421
HDGFL1	Nonessential	-0.108956033917675	10	0.165044845162255	0.766401282346482	0.999800740360261	433	NA
SETMAR	Other	-0.0439097733037655	10	0.165175803870414	0.766782089657982	0.999800740360261	434	NA
MSH6	Other	0.0977087795119267	10	0.165227399662114	0.766906073433819	0.999800740360261	NA	422
BRMS1L	Other	0.0534041173003708	10	0.165433620664756	0.767410864521157	0.999800740360261	NA	423
NOTCH3	Other	-0.320503977041739	10	0.166475653590558	0.769739988310101	0.999800740360261	435	NA
SAP30L	Other	0.17144858354496	10	0.166548681273523	0.769828548149985	0.999800740360261	NA	424
RBBP4	Other	0.042049250036837	10	0.167459655931675	0.771865424467313	0.999800740360261	NA	425
SIRT4	Other	-0.0920194899362073	10	0.16759706152851	0.772228519810836	0.999800740360261	436	NA
INO80E	Other	-0.0437830080457323	10	0.168147902582629	0.773565773393082	0.999800740360261	437	NA
RAD54L	Other	-0.0733151721282175	10	0.168561633941791	0.774345099984059	0.999800740360261	438	NA
KDM4B	Other	0.0309523470924929	10	0.169401310165684	0.776222568589596	0.999800740360261	NA	426
UBN1	Other	-0.105337885226659	10	0.170064298964124	0.777612958075772	0.999800740360261	439	NA
CDKN1A	Other	0.00761376415062703	10	0.170361253054891	0.778250588922935	0.999800740360261	NA	427
PTPN11	Other	-0.0653023155027553	10	0.171405272553017	0.780792256327601	0.999800740360261	440	NA
AKT2	Other	0.0644309630423352	10	0.172781876491904	0.783271931844347	0.999800740360261	NA	428
METTL8	Other	0.161986819177504	10	0.1731302640884	0.78375015497972	0.999800740360261	NA	429
PELP1	Other	-0.0492380980524695	10	0.173993498614878	0.785096264545954	0.999800740360261	441	NA
PRDM12	Other	-0.142750830162987	10	0.174556204125029	0.785964150976815	0.999800740360261	442	NA
COL2A1	Other	-0.135824538752423	10	0.174779772633211	0.786380382224269	0.999800740360261	443	NA
EIF3H	Other	-0.120980565304058	10	0.175965635522236	0.78812501106998	0.999800740360261	444	NA
ACTL6B	Other	0.101770770114284	10	0.176118315140755	0.788364122637666	0.999800740360261	NA	430
PTPN22	Other	-0.164015289115396	10	0.177035817288195	0.789958199755575	0.999800740360261	445	NA
CUL4B	Other	0.163580306905479	10	0.17710121409075	0.790099895499389	0.999800740360261	NA	431
PCGF1	Other	0.109750694701257	10	0.177537152697876	0.790852654138401	0.999800740360261	NA	432
SIRT3	Other	-0.00237496425214604	10	0.178058276127474	0.79162312474539	0.999800740360261	446	NA
