Gene	Category	DMSO	plasmid	PRMT5
CARM1	Other	0.346299032242095	0.316724023111307	0.124847006449496
CASP8	Other	0.446209000167897	0.260712398890344	0.266052386338918
CBL	Other	0.383138122771531	0.16906869215128	0.386754613905811
CBLB	Other	0.378529662823572	0.147092045159062	0.408201211009633
CBLL1	Other	0.694975535014323	0.376282254141976	0.755057095978254
CBX1	Other	1.06597680672678	0.719386576445705	1.02496850984213
CBX2	Other	0.271660700130635	0.388311429595503	0.352778004441564
CBX3	Other	0.0862114537661527	-0.0331456234314437	0.131299033546105
CBX4	Other	-0.251268560952091	-0.182690836347675	-0.213842900539598
CBX5	Other	-0.429528541558097	-0.675930598672986	-0.511109981982005
CBX6	Other	0.507047467729183	0.43861096063834	0.459736215939595
CBX7	Other	0.814954076643075	0.512854818256942	0.649717696902331
CBX8	Other	-0.115681178232284	-0.0376049566864254	-0.157289277977596
CCDC101	Other	0.233922292903637	0.418771234449156	0.357597857343663
CCND1	Other	0.442825643306384	0.320318276615212	0.267986545253989
CCNT1	Other	0.492999182489972	0.218622960955894	0.427739143770421
CCT3	Essential	-1.52214342285427	0.154627673660871	-1.19765224992408
CCT4	Essential	-0.870982435293848	0.155750511600698	-0.494032847859125
CCT7	Essential	-1.05300426191776	0.400476544420344	-0.526295206848719
CCT8	Essential	-0.429458553931087	-0.0329458575333404	-0.451512774353235
CD79B	Other	0.168123424492303	0.230316649723527	0.184280349165081
CDC20	Other	-1.41679856677618	0.263555650190337	-1.45991416901792
CDC23	Other	-1.49966656473734	-0.104738573303894	-1.38298317935658
CDC34	Other	0.895672532353664	0.428158610933168	0.912256970301103
CDC5L	Essential	-0.914899411966153	-0.0979914998476356	-0.826979895806844
CDC6	Other	-1.20809096891213	0.504243730865492	-1.13193749806751
CDC73	Other	-1.26625434372995	-0.357303290698241	-1.20409919616671
CDH1	Other	0.327378990615306	0.166535402115456	0.358287754432881
CDH2	Other	0.66004768847592	0.160811483786116	0.635528004466522
CDK1	Other	-1.58605937986253	0.164134517778483	-1.40311153404824
CDK12	Other	-0.299299809646013	0.247873752336999	-0.462084199516828
CDK13	Other	0.315029923540825	-0.114097081708753	0.369925788075001
CDK17	Essential	0.777052156535251	0.446702833500971	0.704229652916243
CDK2	Other	0.0832820277896301	0.139543395675855	0.139724763597381
CDK3	Other	0.329522684421122	0.317288417378199	0.225953523926931
CDK4	Other	0.603961669218749	0.42408050592085	0.518350033400882
CDK5	Other	-0.19484304725162	-0.0433688211151102	0.0710380405805764
CDK6	Other	0.348456693186905	0.168373307182753	0.421314646618419
CDK7	Other	-0.472996278077503	0.273095653816721	-0.477926417125814
CDK8	Other	0.386587448236565	0.300752185206787	0.518081305770983
CDK9	Other	0.122477956697985	0.0961534954250239	0.0842694993126995
CDKN1A	Other	0.19683371930818	0.17238376597766	0.179997530128287
CDKN1B	Other	0.315798027758337	0.116246377540414	0.248332376902946
CDKN2A	Other	0.262692033921143	0.0894463302998341	0.236169357579898
CDKN2C	Other	0.410900388742619	0.24171086967549	0.526170409893893
CDYL	Other	0.48648150192812	0.325089384418528	0.50834695568928
CDYL2	Other	0.20338671875583	-0.0536834502037005	0.338461273961565
CEBPA	Other	0.542804163670853	0.366609871762018	0.39550140094607
CECR2	Other	0.336736193514388	0.262404971682302	0.197764817185972
CENPA	Other	0.0634228007268711	0.740634872393484	0.138733174884421
CENPC	Other	-1.52027333956989	-0.099208015826904	-1.29408158297578
CHAF1A	Other	-2.00719653423779	-0.263919815114951	-1.86145863657244
CHAF1B	Other	-1.02270971511657	0.0473698467425743	-0.922469111944304
CHD1	Other	0.00740822877003313	-0.0233944743204394	0.0771914761082428
CHD1L	Other	-0.115151868964399	-0.168150272039979	0.016805928763657
CHD2	Other	-1.32388251876014	-0.785240640096083	-1.22731684181208
CHD3	Other	-0.0849700959525383	-0.228910240947276	-0.261243503875297
CHD4	Essential	-1.83729085639472	-0.393747523583558	-1.87755718852193
CHD5	Other	-0.448531978791608	-0.276878759487845	-0.494219349164232
CHD6	Other	0.0663174924689047	-0.126316967197674	0.0589267568148837
CHD7	Other	-0.431975764272358	0.19228067278997	-0.406744850867107
CHD8	Other	-0.850729684200255	-0.212924094821643	-0.719419364221922
CHD9	Other	-0.255943835454659	-0.168424681066319	-0.182027517089102
CHEK1	Other	-1.99599836747835	0.728127852710396	-1.82846421416285
CHEK2	Other	0.62305702467168	0.3275030318071	0.478405675147697
CHFR	Other	0.207157948380506	0.127914146328509	0.144207660355605
CHMP2A	Essential	-0.721159733140134	0.48177291282109	-0.416799111518606
CHRAC1	Other	0.51670074379373	0.270405458030749	0.335413724142232
CIC	Other	0.26722015721896	0.191175873337978	0.427470508525376
CLK4	Other	0.275429868304171	0.145228231728927	0.335034573012747
CLOCK	Other	0.379867093194694	0.24911882892716	0.531325882543755
CLTC	Essential	-0.915273209663859	0.379986979311666	-0.893852276807764
CNOT3	Other	-1.14885970306237	0.280108088663359	-1.15759677764081
COL2A1	Other	-0.108003298383387	-0.0913569889973404	-0.227181527749764
CREBBP	Other	0.3534692069002	0.0345796332034919	0.274497013258592
CSRP2BP	Other	0.0361169565097184	-0.0627799125055312	0.106210544483569
CTBP1	Other	0.131283441316583	0.0528251498075293	0.165523250693417
CTBP2	Other	-0.0066682285087346	-0.0822688511671685	-0.13427251158599
CTCF	Other	-0.180269230005848	-0.099990215588773	-0.00462959343855227
CTNNB1	Other	0.58893176854352	0.322018165751425	0.634198257284927
CTR9	Other	-1.19077741858779	-0.272178212515662	-1.18111316388075
CTRL_WANG	Nontargeting	0.799554840010802	0.446942621430667	0.768087000972704
CTRL_ZHANG	Nontargeting	0.904199266946904	0.500496999143557	0.902093042188834
CUL1	Other	0.148483445626525	0.0790865356643205	3.78110807829739e-05
CUL2	Other	-0.89468854428548	0.232486800102009	-0.666293896176014
CUL3	Other	-0.19632599991416	0.0299656642213954	-0.288235966323059
CUL4A	Other	-0.474937918652894	-0.177430146888678	-0.233840707809236
CUL4B	Other	-0.17780109915794	-0.301650773946081	-0.138070467040602
CUL5	Other	-0.530856236663836	-0.604762673296353	-0.381874001178698
CUX1	Other	-0.34975461691969	-0.378226705962727	-0.4515650887059
CXXC1	Other	-0.641629221255893	0.144810895263472	-0.594881047999073
CYLD	Other	0.0319244761130562	-0.0873834149642825	-0.0885782252111109
DAPK3	Other	0.458195152369185	0.399911895278991	0.352184419151454
DAXX	Other	-0.398203002369155	-0.0891069440612731	-0.497699246182064
DDX51	Essential	-0.583403841802422	-0.25043440906117	-0.546691160457193
DICER1	Other	0.310568466737076	0.196306214471936	0.0713595490170304
DIDO1	Other	-0.468126586447098	-0.164246516218732	-0.137076833652919
DMAP1	Other	-1.08939005897175	-0.0718232300566857	-1.15651343242663
DNMT1	Other	0.00525824499474291	0.187280128536997	0.041039485415153
