Gene	Category	PRMT5_biased	DMSO_biased	PRMT5	DMSO	Z	P(-)	FDR(-)	P(+)	FDR(+)	P(replicates)	FDR(replicates)	P(sgRNAs)	FDR(sgRNAs)
POLR2I	Essential	-1.27726038553091	-1.13751972422343	-1.32320218272604	-1.09739443046362	-2.21302648812804	0.0134479097662144	0.618535305071733	0.986552090233786	0.999999886627587	0.0315249810995132	0.793765424626525	0.0295834145131866	0.472489391796322
HIST1H3B	Other	-0.821990289795301	-0.640319882325372	-0.84617553295471	-0.622107716998965	-2.19597722398792	0.014046786817417	0.618535305071733	0.985953213182583	0.999999886627587	0.170682135172396	0.891694519265137	0.133074443401406	0.701779376050813
CARM1	Other	-0.191877016661811	0.0295750091307878	-0.194745368676298	0.0270194333783063	-2.17341048279848	0.0148747182801003	0.618535305071733	0.9851252817199	0.999999886627587	0.060751422578627	0.793765424626525	0.136855948564445	0.705091937765205
SUZ12	Other	0.235700480655823	0.47237040250158	0.23948001406841	0.461073921661946	-2.17173592448525	0.0149377935929667	0.618535305071733	0.985062206407033	0.999999886627587	0.0549248859052586	0.793765424626525	0.0374918082148107	0.50489293115358
ATAD2	Other	0.0172276800255064	0.233084737060164	0.0189297523111143	0.238057284929021	-2.14756844302819	0.0158740272902279	0.633827232516958	0.984125972709772	0.999999886627587	0.208145465263203	0.914359572128442	0.108587647673533	0.682539248399978
ACTR3B	Other	-0.159849962400851	0.0535750684418086	-0.157978304135894	0.0545250202843509	-2.08265924212948	0.0186411475330954	0.710620522365763	0.981358852466905	0.999999886627587	0.066260709651209	0.793765424626525	0.0217635806514462	0.434494342291372
SMARCD2	Other	-0.143183456641548	0.075066466956939	-0.139754285210748	0.0718019181566041	-2.07337860528004	0.0190685292226949	0.710620522365763	0.980931470777305	0.999999886627587	0.00945015012189	0.793765424626525	0.135385855222374	0.703451595159516
ARID4A	Other	-0.40097364693519	-0.194015662446293	-0.403440112177586	-0.194696898904597	-2.04581471632717	0.0203873017922078	0.712287284668165	0.979612698207792	0.999999886627587	0.131950591199743	0.885134129299616	0.130275952461078	0.701779376050813
KAT7	Other	0.224034317177358	0.431805964622628	0.221657849035782	0.429538942731649	-2.03736699077865	0.0208066395915025	0.712287284668165	0.979193360408497	0.999999886627587	0.237249010015647	0.935222480260008	0.00647815228750066	0.241419141914191
ELL3	Other	-0.0533114742305659	0.159344856320437	-0.0490657644166626	0.158373060044982	-2.03303328904119	0.0210245799588993	0.712287284668165	0.978975420041101	0.999999886627587	0.00105149003235589	0.587782928086944	0.027130306948405	0.466641279512567
