Gene	Category	DMSO	PRMT5
KMT2A	Other	0.404483028489662	0.297244803389
KMT2B	Other	-0.247506680144335	-0.216812889989605
KMT2C	Other	0.145021724876889	0.218143664346924
KMT2D	Other	-0.120874807534098	-0.0731812536367842
KMT2E	Other	-0.348247751454826	-0.347866309632845
KPNB1	Essential	-2.33355469288232	-2.26899697595761
KRAS	Other	0.262706514694993	0.338091720387781
L3MBTL1	Other	0.081639278885033	0.0374309189744927
L3MBTL2	Other	0.0855116458652546	0.0574626950227403
L3MBTL3	Other	0.182113484482512	0.152869683218331
L3MBTL4	Other	0.299723437429152	0.234159274342367
LBR	Other	0.120555392574707	0.06651637978448
LEO1	Other	0.328516259106125	0.203045923114243
LIN54	Other	-0.268993152603739	-0.0284108889477991
LIN9	Other	-0.369952915285671	-0.0932514499717336
LMO7	Other	-0.0869070597105773	-0.113949407496597
LNX1	Other	0.295449825917336	0.156329002760443
LRWD1	Other	-0.0864365436172865	0.00674247955433424
LSM4	Essential	-0.656452396312847	-0.768411587121
LUC7L3	Other	-0.739247726035011	-0.471257922333106
MAK	Other	0.285858878208683	0.309880972322501
MALT1	Other	0.147703271092276	0.192497330757266
MAP2K1	Other	-0.200355198121058	-0.191305885464447
MAP2K2	Other	0.331864997453289	0.162309657134092
MAP2K4	Other	0.272426499092963	0.253805772684033
MAP3K1	Other	0.142649182888727	0.181247635184424
MAP3K19	Other	-0.0324425990863881	-0.211208120781938
MAP3K7	Other	0.129328976932312	0.138522112964121
MAPKAPK2	Other	0.0660170617981758	-0.0374945433155532
MAPKAPK3	Other	-0.133573989267621	-0.128433497168559
MAX	Other	0.0052578901050002	-0.0643919405241704
MBD1	Other	-0.432784743413023	-0.283710052458084
MBD2	Other	0.0285521569830115	0.0446027938888443
MBD3	Other	-0.132101676365413	-0.207342321553964
MBD4	Other	0.0950800076233686	0.151265884654007
MBD5	Other	-0.00025075423397831	-0.0381672044649031
MBD6	Other	0.0673716522278477	0.0291201916315932
MBIP	Other	0.0897587096596808	0.0811979960013428
MBTD1	Other	0.208535267717113	-0.089125575777293
MDM2	Other	0.23241365360268	0.293561556676618
MDM4	Other	0.137474599661029	0.142051844570613
MEAF6	Other	0.266169154873765	0.32719351893903
MECP2	Other	-0.0117977767102743	0.0342791634273266
MED12	Other	0.671730198616362	0.577469750429133
MED19	Other	1.0625889403114	0.89001956138992
MEN1	Other	-0.145620919643778	-0.124569856608437
MET	Other	0.17409870556754	0.0897310072476934
METTL1	Other	0.264120648986501	0.171374207107637
METTL10	Other	0.109395662629877	0.215555874562939
METTL12	Other	0.14509835489092	0.123151676173298
METTL13	Other	-0.017711090306313	0.000831409244197695
METTL14	Other	-0.312501094976425	0.135076546835377
METTL15	Other	0.283130325034043	0.29155117600324
METTL16	Other	0.000741461229025695	-0.0910166725702109
METTL17	Other	-0.0412568175944809	-0.117294238410088
METTL18	Other	0.161906091325134	0.218577517991673
METTL20	Other	0.0647660057031872	0.15903161415819
METTL21A	Other	0.024904249036017	0.0995699186746677
METTL21B	Other	0.0735505748786682	0.121481523119673
METTL21C	Other	0.164130712470353	0.13288783503281
METTL22	Other	0.22421873152754	0.356718897846248
METTL23	Other	0.182536109957659	0.214757367632144
METTL24	Other	0.0246584681414186	0.0588539494180474
METTL25	Other	0.175590103299474	0.235834527844757
METTL2A	Other	-0.135805087839814	-0.0196403212070307
METTL3	Other	-0.559196386660298	-0.184092610091601
METTL4	Other	0.3185415200607	0.331101749090258
METTL5	Other	0.273277589549	0.350463550134909
METTL6	Other	-0.094351752618055	-0.151392561946483
METTL7A	Other	0.0542565853961151	0.203089232123038
METTL8	Other	0.282440205613947	0.161986819177505
METTL9	Other	0.227059749977806	0.156695411639171
MGEA5	Other	0.613645534111794	0.556726789588925
MGRN1	Other	0.0103932415785311	0.040873090044331
MIB1	Other	0.0336051913717453	-0.000659863916627026
MIB2	Other	-0.15646664097621	0.0404684920873497
MINA	Other	0.0906545517688627	0.0852726059340394
MLH1	Other	-0.0506319849430274	0.0599171588656718
MLLT1	Other	0.0573674666799995	-0.0141008446457546
MLLT10	Other	0.345910021471718	0.362558131838289
MLLT3	Other	0.282321146715362	0.211758199698124
MLLT6	Other	-0.210284248867681	-0.438346226482552
MORF4L1	Other	-0.109220755155469	0.184080760827467
MORF4L2	Other	-0.0790581324792634	0.0212286385190645
MPHOSPH8	Other	-0.302757794070583	-0.222536003200834
MRGBP	Other	0.211356624434265	0.21382201650596
MSH2	Other	0.11751738814669	0.0426519303905698
